2020-11-03 17:31:59,724 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\main\resources
2020-11-03 17:31:59,725 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:31:59,725 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\test\resources
2020-11-03 17:32:07,640 [Worker-24] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2020-11-03 17:32:08,481 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.co.itgood:cubecms:3.0.7 @ D:\CUBE307\work2\jungleon\SNIP_USR\pom.xml.
2020-11-03 17:32:08,814 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:32:08,878 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:32:09,689 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:32:09,740 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:32:10,905 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SNIP_USR/src/main/java
2020-11-03 17:32:10,906 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SNIP_USR/src/test/java
2020-11-03 17:32:11,477 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:32:11,534 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:32:12,816 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for SNIP_USR
2020-11-03 17:32:12,834 [Worker-24] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 5 sec
2020-11-03 17:32:23,936 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:32:23,994 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:32:24,521 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:32:24,522 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\main\resources
2020-11-03 17:32:24,523 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:32:24,523 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\test\resources
2020-11-03 17:32:24,523 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SNIP_USR
2020-11-03 17:32:24,523 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SNIP_USR
2020-11-03 17:32:24,530 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:32:38,410 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:32:38,410 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\main\resources
